Variable,Modalité,N,Pct_Population,Taux_Defaut_Pct
DECOUVERT_MOY_MEAN_level1,0.0,30249,26.91,0.8232
DECOUVERT_MOY_MEAN_level1,1.0,82171,73.09,0.1022
CRTAD_AG_NBJDE_BA_level1,0.0,42612,37.9,0.6688
CRTAD_AG_NBJDE_BA_level1,1.0,69808,62.1,0.0688
CRTAD_AG_NBJDE_BB_level1,0.0,22146,19.7,1.0566
CRTAD_AG_NBJDE_BB_level1,1.0,90274,80.3,0.1097
CRTAD_AG_NBJDE_BC_level1,0.0,24941,22.19,0.7979
CRTAD_AG_NBJDE_BC_level1,1.0,87479,77.81,0.1532
CHR_V1_4_USAGE_bin,0.0,103370,91.95,0.1113
CHR_V1_4_USAGE_bin,1.0,9050,8.05,2.4088
nb_jours_arrieres_T_level1,0.0,3005,2.67,5.391
nb_jours_arrieres_T_level1,1.0,109415,97.33,0.1563
TOPCLILITIG,0.0,112301,99.89,0.2484
TOPCLILITIG,1.0,119,0.11,45.3782
CRTAD_IND_0015_level1,0.0,25169,22.39,0.9297
CRTAD_IND_0015_level1,1.0,87251,77.61,0.1135
NBRJJRDVTAUT_STK_MEAN_level1,0.0,22588,20.09,1.0625
NBRJJRDVTAUT_STK_MEAN_level1,1.0,89832,79.91,0.1035
NBECR_PAR_level1,0.0,60653,53.95,0.3545
NBECR_PAR_level1,1.0,51767,46.05,0.2279
