Variable,IV,Interpretation,N_Modalites
couleur_irpar,1.7311,Suspicieux,3
TOP_DP,1.3808,Suspicieux,5
TOPLS,0.8196,Suspicieux,4
TOPCLILITIG,0.7847,Suspicieux,2
seuils_abs_rel_arrieres_T,0.6529,Suspicieux,2
CODITDBDF_PAR,0.1597,Moyen,2
NDB_Mm12,0.119,Moyen,2
NDB_Mm4,0.0989,Faible,2
NDB_Mm6,0.0926,Faible,2
CODITDBDF_PAR_Am1,0.0907,Faible,2
NDB_Mm5,0.089,Faible,2
NDB_Mm3,0.0807,Faible,2
IND_DEPASSE_90J,0.0738,Faible,2
NDB_Mm2,0.0611,Faible,2
Top_immo_hyp,0.0485,Faible,2
TOP_PRO,0.0402,Faible,2
NDB_Mm1,0.0302,Faible,2
top_assu_vie,0.0244,Faible,2
Top_immo_camca,0.0157,Inutile,2
Top_immo_vie,0.0089,Inutile,2
top_anciennete_15m,0.002,Inutile,2
Top_immo_ss_gar,0.0002,Inutile,2
Top_immo_autre_gar,0.0001,Inutile,2
top_immo,0.0,Inutile,1
Top_immo_CL,0.0,Inutile,2
