Variable,Modalite,N_Total,N_Defauts,N_Sains,Pct_Population,Taux_Defaut_Pct,Distr_Defauts,Distr_Sains,WOE,IV_Contribution
CODITDBDF_PAR,0,262126,747,261379,99.93,0.285,0.96139,0.9994,-0.0388,0.001474
CODITDBDF_PAR,2,187,30,157,0.07,16.0428,0.03861,0.0006,4.1638,0.158266
TOPCLILITIG,0.0,262049,668,261381,99.9,0.2549,0.859717,0.999407,-0.1506,0.021032
TOPCLILITIG,1.0,264,109,155,0.1,41.2879,0.140283,0.000593,5.4668,0.763661
NDB_Mm4,0.0,259650,740,258910,98.98,0.285,0.952381,0.989959,-0.0387,0.001454
NDB_Mm4,1.0,161,20,141,0.06,12.4224,0.02574,0.000539,3.8659,0.097423
Top_immo_ss_gar,0.0,251040,746,250294,95.7,0.2972,0.960103,0.957015,0.0032,1e-05
Top_immo_ss_gar,1.0,11273,31,11242,4.3,0.275,0.039897,0.042985,-0.0745,0.00023
couleur_irpar,O,11308,219,11089,4.31,1.9367,0.281853,0.0424,1.8942,0.453585
couleur_irpar,R,2229,206,2023,0.85,9.2418,0.265122,0.007735,3.5344,0.909716
couleur_irpar,V,248776,352,248424,94.84,0.1415,0.453024,0.949865,-0.7404,0.367848
top_assu_vie,0.0,128834,442,128392,49.11,0.3431,0.568855,0.490915,0.1474,0.011485
top_assu_vie,1.0,133479,335,133144,50.89,0.251,0.431145,0.509085,-0.1662,0.012951
NDB_Mm6,0.0,258289,735,257554,98.47,0.2846,0.945946,0.984775,-0.0402,0.001562
NDB_Mm6,1.0,198,20,178,0.08,10.101,0.02574,0.000681,3.6328,0.091037
Top_immo_hyp,0.0,225333,602,224731,85.9,0.2672,0.774775,0.859274,-0.1035,0.008747
Top_immo_hyp,1.0,36980,175,36805,14.1,0.4732,0.225225,0.140726,0.4703,0.039738
TOP_PRO,0.0,235271,644,234627,89.69,0.2737,0.828829,0.897112,-0.0792,0.005406
TOP_PRO,1.0,27042,133,26909,10.31,0.4918,0.171171,0.102888,0.509,0.034757
IND_DEPASSE_90J,0,261746,754,260992,99.78,0.2881,0.970399,0.99792,-0.028,0.00077
IND_DEPASSE_90J,1,567,23,544,0.22,4.0564,0.029601,0.00208,2.6554,0.07308
NDB_Mm1,0.0,261748,770,260978,99.78,0.2942,0.990991,0.997866,-0.0069,4.8e-05
NDB_Mm1,1.0,44,6,38,0.02,13.6364,0.007722,0.000145,3.9731,0.030103
NDB_Mm12,0.0,254054,720,253334,96.85,0.2834,0.926641,0.968639,-0.0443,0.001862
NDB_Mm12,1.0,227,25,202,0.09,11.0132,0.032175,0.000772,3.7295,0.117116
Top_immo_camca,0.0,255592,739,254853,97.44,0.2891,0.951094,0.974447,-0.0243,0.000566
Top_immo_camca,1.0,6721,38,6683,2.56,0.5654,0.048906,0.025553,0.6492,0.01516
Top_immo_vie,0.0,227717,698,227019,86.81,0.3065,0.898327,0.868022,0.0343,0.00104
Top_immo_vie,1.0,34596,79,34517,13.19,0.2284,0.101673,0.131978,-0.2609,0.007906
TOP_DP,0.0,252683,432,252251,96.33,0.171,0.555985,0.964498,-0.5509,0.225037
TOP_DP,1.0,7734,183,7551,2.95,2.3662,0.235521,0.028872,2.0989,0.433744
TOP_DP,2.0,1211,135,1076,0.46,11.1478,0.173745,0.004114,3.7432,0.634955
TOP_DP,3.0,648,23,625,0.25,3.5494,0.029601,0.00239,2.5166,0.068481
TOP_DP,5.0,37,4,33,0.01,10.8108,0.005148,0.000126,3.7087,0.018624
top_immo,1.0,262313,777,261536,100.0,0.2962,1.0,1.0,0.0,0.0
CODITDBDF_PAR_Am1,0.0,254111,726,253385,96.87,0.2857,0.934363,0.968834,-0.0362,0.001249
CODITDBDF_PAR_Am1,2.0,170,19,151,0.06,11.1765,0.024453,0.000577,3.746,0.089439
Top_immo_CL,0.0,61679,182,61497,23.51,0.2951,0.234234,0.235138,-0.0039,3e-06
Top_immo_CL,1.0,200634,595,200039,76.49,0.2966,0.765766,0.764862,0.0012,1e-06
NDB_Mm5,0.0,258934,739,258195,98.71,0.2854,0.951094,0.987225,-0.0373,0.001347
NDB_Mm5,1.0,181,19,162,0.07,10.4972,0.024453,0.000619,3.6757,0.087606
seuils_abs_rel_arrieres_T,0.0,245504,492,245012,93.59,0.2004,0.633205,0.936819,-0.3917,0.118925
seuils_abs_rel_arrieres_T,1.0,16809,285,16524,6.41,1.6955,0.366795,0.063181,1.7588,0.534
Top_immo_autre_gar,0.0,246004,727,245277,93.78,0.2955,0.93565,0.937833,-0.0023,5e-06
Top_immo_autre_gar,1.0,16309,50,16259,6.22,0.3066,0.06435,0.062167,0.0345,7.5e-05
top_anciennete_15m,0.0,5906,23,5883,2.25,0.3894,0.029601,0.022494,0.2746,0.001951
top_anciennete_15m,1.0,256407,754,255653,97.75,0.2941,0.970399,0.977506,-0.0073,5.2e-05
NDB_Mm2,0.0,261071,762,260309,99.53,0.2919,0.980695,0.995308,-0.0148,0.000216
NDB_Mm2,1.0,85,12,73,0.03,14.1176,0.015444,0.000279,4.0133,0.060862
NDB_Mm3,0.0,260359,750,259609,99.26,0.2881,0.965251,0.992632,-0.028,0.000766
NDB_Mm3,1.0,119,16,103,0.05,13.4454,0.020592,0.000394,3.9567,0.079919
TOPLS,0.0,262049,668,261381,99.9,0.2549,0.859717,0.999407,-0.1506,0.021032
TOPLS,1.0,109,26,83,0.04,23.8532,0.033462,0.000317,4.6581,0.154393
TOPLS,2.0,67,28,39,0.03,41.791,0.036036,0.000149,5.4875,0.196931
TOPLS,3.0,88,55,33,0.03,62.5,0.070785,0.000126,6.3297,0.44725
